feature,importance
Item Purchased_Coat,0.13836359815403423
Item Purchased_Jacket,0.13833452089682965
Item Purchased_Sandals,0.06697156506000271
Item Purchased_Boots,0.06517787791628459
Item Purchased_Shoes,0.06366900099827616
Item Purchased_Sneakers,0.0578434708500207
Item Purchased_Belt,0.031050402816348355
Item Purchased_Jewelry,0.029659333640270784
Item Purchased_Sunglasses,0.02828710960977148
Item Purchased_Scarf,0.026709930409914383
Item Purchased_Handbag,0.02563999941952324
Item Purchased_Gloves,0.02270537963375506
Item Purchased_Hat,0.022515936294368676
Item Purchased_Sweater,0.017563140129284758
Item Purchased_Blouse,0.0171287759441834
Item Purchased_Shirt,0.017068515702640976
Item Purchased_Socks,0.016874558302636924
Item Purchased_Pants,0.01672219133789118
Item Purchased_Dress,0.016492408768473403
Item Purchased_Skirt,0.016341431796533804
Item Purchased_Hoodie,0.01604201032831178
Item Purchased_Shorts,0.014993682812084278
Item Purchased_T-shirt,0.014579278797572884
Item Purchased_Jeans,0.012594889365324909
Purchase Amount (USD),0.010227166934841263
Previous Purchases,0.009872776473491674
Age,0.00943662083742341
Review Rating,0.008222332171770924
Size_M,0.0020763048953393705
Payment Method_Cash,0.0020372641107071596
Gender_Male,0.001795954166529173
Preferred Payment Method_Cash,0.0017352557762826924
Season_Summer,0.0017104875871451948
Discount Applied_Yes,0.0016450929949408575
Season_Spring,0.0016194994519338822
Shipping Type_Free Shipping,0.001593999478545486
Promo Code Used_Yes,0.0015753855902484774
Preferred Payment Method_PayPal,0.0015440951362264458
Season_Winter,0.0015312745231623641
Subscription Status_Yes,0.0015212316101967467
Preferred Payment Method_Credit Card,0.0014697087183826148
Size_S,0.0014531293909279947
Preferred Payment Method_Venmo,0.0014188175358209054
Preferred Payment Method_Debit Card,0.0014162803169537718
Frequency of Purchases_Weekly,0.001390565707847513
Shipping Type_Standard,0.001344773537580668
Size_XL,0.0013306597750122398
Payment Method_PayPal,0.001296360040092341
Frequency of Purchases_Every 3 Months,0.0012606065289367504
Shipping Type_Store Pickup,0.00124583900873312
Shipping Type_Next Day Air,0.0011798967627883908
Frequency of Purchases_Quarterly,0.0011657213727972013
Shipping Type_Express,0.0011587726837556987
Payment Method_Debit Card,0.0011309029207335474
Payment Method_Credit Card,0.001110998589968864
Frequency of Purchases_Monthly,0.001046974079056976
Payment Method_Venmo,0.0010294520711567822
Frequency of Purchases_Fortnightly,0.0010272520670793416
Frequency of Purchases_Bi-Weekly,0.0009996409596408496
Color_Olive,0.000958644342431437
Location_North Dakota,0.0007418632410010586
Color_Violet,0.000731588239093178
Color_Orange,0.0006561971166458492
Color_Blue,0.0006549617383449047
Color_Yellow,0.0006228525043944575
Color_Teal,0.0006179709232123026
Color_Turquoise,0.0006173369886436274
Color_Cyan,0.0005760984943864601
Color_Black,0.0005455145595238929
Location_Illinois,0.0005419467904455892
Color_Green,0.0005282378804886573
Location_Nebraska,0.0005216126434770026
Color_White,0.0004773509462526771
Color_Maroon,0.0004725498688337969
Location_Florida,0.0004560468560075704
Location_Georgia,0.00044134642119386306
Color_Magenta,0.0004324912747573189
Color_Gold,0.0004268345202201497
Color_Charcoal,0.0004239862012038947
Location_California,0.00040780560319487053
Location_West Virginia,0.0003998973275176783
Color_Brown,0.0003981274262147221
Color_Silver,0.00038412050438513457
Location_Pennsylvania,0.0003701568848013682
Color_Gray,0.00036506075122243837
Color_Indigo,0.0003645729098906938
Location_New York,0.00035983617049795694
Location_Oklahoma,0.00035269059867650075
Location_Virginia,0.00034991011578887257
Color_Peach,0.00034452052647024735
Location_New Jersey,0.00033161053715050423
Color_Red,0.0003249023610271454
Color_Purple,0.0003134543849524588
Location_Maine,0.00031336437219591206
Location_Mississippi,0.00031318717284939027
Location_Louisiana,0.0003091867902028788
Location_New Hampshire,0.00029483484256473337
Color_Lavender,0.0002911801320498381
Color_Pink,0.0002861253585284422
Location_Utah,0.0002857057583160784
Location_Vermont,0.000280759559780975
Location_Oregon,0.00027344895786415727
Location_Nevada,0.0002713766060126522
Location_Montana,0.0002672346104338063
Location_Missouri,0.0002600736148102272
Location_Ohio,0.00024568530911787804
Location_Minnesota,0.000245319780856412
Location_Iowa,0.0002431138856680679
Location_Kentucky,0.00023923737305158832
Location_New Mexico,0.00022880991396088835
Location_Washington,0.00022319625794231429
Location_Massachusetts,0.00021581479640888498
Location_Arkansas,0.0002152781831340784
Location_Connecticut,0.00021119393961882774
Location_Delaware,0.00020399178574451342
Location_Kansas,0.0002009110670316763
Location_South Carolina,0.00019763392006368736
Location_Indiana,0.0001951369332674644
Location_Texas,0.00019407953918551736
Location_North Carolina,0.00018787464351633683
Location_Colorado,0.00018736930294427606
Location_South Dakota,0.00018704496627052703
Location_Maryland,0.0001867878576631987
Location_Wyoming,0.00017898811363553847
Location_Hawaii,0.00017324474864203912
Location_Idaho,0.00016942096438165053
Location_Arizona,0.00016838668337425356
Location_Tennessee,0.00015221519440359354
Location_Wisconsin,0.00015136779551388688
Location_Alaska,0.00012442190985136606
Location_Michigan,0.00010636531670894819
Location_Rhode Island,5.843159969640992e-05
